Launcher,Padding,Hardhat,H (cm),H(std),V(m/s),V(std),KE(J),KE(std)
Spring,None,No,5.43,3.52,10.73,8.64,3.42,2.22
Spring,Baked,No,3.01,1.03,7.99,4.67,1.90,0.65
Spring,Agelfoam,No,4.64,1.75,9.92,6.09,2.92,1.10
Spring,None,Yes,2.72,1.31,7.53,5.23,1.68,0.81
Spring,Baked,Yes,5.11,0.06,10.32,1.09,3.17,0.04
Spring,Agelfoam,Yes,5.30,0.51,10.51,3.27,3.28,0.32
Gas,None,No,101.20,3.10,46.32,8.11,63.73,1.95
Gas,Baked,No,29.41,49.86,24.97,32.52,18.52,31.40
Gas,Agelfoam,No,90.64,18.28,43.84,19.69,57.08,11.51
Gas,None,Yes,52.30,2.20,33.03,6.78,32.41,1.36
Gas,Baked,Yes,22.03,12.53,21.44,16.17,13.65,7.77
Gas,Agelfoam,Yes,148.75,1.45,55.71,5.50,92.18,0.90
